#tick=716507,surfaces=15,speed=1
kind,name,precision,sample,input,output
item,steel-plate,ten_hours,37,11337,9838
item,steel-plate,ten_hours,38,11371,10303
item,steel-plate,ten_hours,39,11373,11377
item,steel-plate,ten_hours,40,11370,11160
item,steel-plate,ten_hours,41,11348,9437
item,steel-plate,ten_hours,42,11190,9577
item,steel-plate,ten_hours,43,11212,9518
item,steel-plate,ten_hours,44,11250,8739
item,steel-plate,ten_hours,45,10872,9795
item,steel-plate,ten_hours,46,10574,9970
item,steel-plate,ten_hours,47,10487,8372
item,steel-plate,ten_hours,48,9604,10401
item,steel-plate,ten_hours,49,8915,6339
item,steel-plate,ten_hours,50,7031,4366
item,steel-plate,ten_hours,51,5381,4148
item,steel-plate,ten_hours,52,5291,3949
item,steel-plate,ten_hours,53,4205,3938
item,steel-plate,ten_hours,54,3722,3437
item,steel-plate,ten_hours,55,3702,2905
item,steel-plate,ten_hours,56,3192,2657
item,steel-plate,ten_hours,57,2641,2362
item,steel-plate,ten_hours,58,2642,2316
item,steel-plate,ten_hours,59,2594,2788
item,steel-plate,ten_hours,60,2592,2491
item,steel-plate,ten_hours,61,2591,2394
item,steel-plate,ten_hours,62,2496,2336
item,steel-plate,ten_hours,63,2300,2005
item,steel-plate,ten_hours,64,1652,1439
item,steel-plate,ten_hours,65,1460,1454
item,steel-plate,ten_hours,66,1457,1615
item,steel-plate,ten_hours,67,1320,931
item,steel-plate,ten_hours,68,750,903
item,steel-plate,ten_hours,69,720,892
item,steel-plate,ten_hours,70,720,1684
item,steel-plate,ten_hours,71,720,610
item,steel-plate,ten_hours,72,720,560
item,steel-plate,ten_hours,73,717,693
item,steel-plate,ten_hours,74,712,384
item,steel-plate,ten_hours,75,706,445
item,steel-plate,ten_hours,76,713,488
item,steel-plate,ten_hours,77,735,453
item,steel-plate,ten_hours,78,627,267
item,steel-plate,ten_hours,79,398,234
item,steel-plate,ten_hours,80,394,260
item,steel-plate,ten_hours,81,377,331
item,steel-plate,ten_hours,82,189,30
item,steel-plate,ten_hours,83,36,0
item,steel-plate,ten_hours,84,36,0
item,steel-plate,ten_hours,85,36,0
item,steel-plate,ten_hours,86,36,0
item,steel-plate,ten_hours,87,36,0
item,steel-plate,ten_hours,88,36,0
item,steel-plate,ten_hours,89,30,0
item,steel-plate,fifty_hours,1,50437,30839
item,steel-plate,fifty_hours,2,51153,31146
item,steel-plate,fifty_hours,3,51027,36163
item,steel-plate,fifty_hours,4,50787,49677
item,steel-plate,fifty_hours,5,53128,40309
item,steel-plate,fifty_hours,6,56291,40270
item,steel-plate,fifty_hours,7,56793,50258
item,steel-plate,fifty_hours,8,56370,48431
item,steel-plate,fifty_hours,9,50452,44877
item,steel-plate,fifty_hours,10,25630,19838
item,steel-plate,fifty_hours,11,14771,13028
item,steel-plate,fifty_hours,12,11631,10665
item,steel-plate,fifty_hours,13,5707,5795
item,steel-plate,fifty_hours,14,3589,3931
item,steel-plate,fifty_hours,15,3179,1887
item,steel-plate,fifty_hours,16,1032,621
item,steel-plate,fifty_hours,17,174,0
item,iron-ore,ten_hours,1,104653,100332
item,iron-ore,ten_hours,2,104260,100457
