#tick=1449059,netprod=8792136986877.3,nets=3379
kind,name,sample,input,output
pw,long-handed-inserter,139,44222.4,0
pw,long-handed-inserter,140,44728.208888889,0
pw,long-handed-inserter,141,44806.702222222,0
pw,long-handed-inserter,142,37295.524444444,0
pw,long-handed-inserter,143,30421.791111111,0
pw,long-handed-inserter,144,24664.297777778,0
pw,long-handed-inserter,145,20200.953333333,0
pw,long-handed-inserter,146,21597.395555556,0
pw,long-handed-inserter,147,21706.837777778,0
pw,long-handed-inserter,148,22584.968888889,0
pw,long-handed-inserter,149,19996.448888889,0
pw,long-handed-inserter,150,19190.226666667,0
pw,long-handed-inserter,151,20279.186666667,0
pw,long-handed-inserter,152,21597.868888889,0
pw,long-handed-inserter,153,21912.677777778,0
pw,long-handed-inserter,154,22070.397777778,0
pw,long-handed-inserter,155,21510.337777778,0
pw,long-handed-inserter,156,20252.442222222,0
pw,long-handed-inserter,157,19072.786666667,0
pw,long-handed-inserter,158,15682.058888889,0
pw,long-handed-inserter,159,14775,0
pw,long-handed-inserter,160,15306.18,0
pw,long-handed-inserter,161,15164.957777778,0
pw,long-handed-inserter,162,14412.911111111,0
pw,long-handed-inserter,163,13751.828888889,0
pw,long-handed-inserter,164,12168.874444444,0
pw,long-handed-inserter,165,11175.143333333,0
pw,long-handed-inserter,166,11972.441111111,0
pw,long-handed-inserter,167,11310.703333333,0
pw,long-handed-inserter,168,7004.755,0
pw,long-handed-inserter,169,5967.9938888889,0
pw,long-handed-inserter,170,7556.285,0
pw,long-handed-inserter,171,9973.2122222222,0
pw,long-handed-inserter,172,10115.606666667,0
pw,long-handed-inserter,173,9612.2811111111,0
pw,long-handed-inserter,174,9331.0077777778,0
pw,long-handed-inserter,175,9166.1911111111,0
pw,long-handed-inserter,176,8470.2172222222,0
pw,long-handed-inserter,177,6317.3666666667,0
pw,long-handed-inserter,178,7102.5077777778,0
pw,long-handed-inserter,179,6080.2355555556,0
pw,long-handed-inserter,180,5806.3516666667,0
pw,long-handed-inserter,181,4850.1855555556,0
pw,long-handed-inserter,182,4953.4322222222,0
pw,long-handed-inserter,183,3510.4138888889,0
pw,long-handed-inserter,184,3443.4277777778,0
pw,long-handed-inserter,185,4468.5577777778,0
pw,long-handed-inserter,186,4073.2263888889,0
pw,long-handed-inserter,187,2961.975,0
pw,long-handed-inserter,188,3246.8836111111,0
pw,long-handed-inserter,189,2364.4377777778,0
pw,long-handed-inserter,190,591.04430555556,0
pw,long-handed-inserter,191,224.71920138889,0
pw,long-handed-inserter,192,306.09263888889,0
pw,long-handed-inserter,193,103.28511284722,0
pw,fast-inserter,1,92223.333333333,0
pw,fast-inserter,2,84985.6,0
pw,fast-inserter,3,83876.408888889,0
pw,fast-inserter,4,82067.537777778,0
pw,fast-inserter,5,79276.106666667,0
pw,fast-inserter,6,80430.808888889,0
pw,fast-inserter,7,79710.648888889,0
pw,fast-inserter,8,85966.097777778,0
pw,fast-inserter,9,85188.364444444,0
pw,fast-inserter,10,84714.017777778,0
pw,fast-inserter,11,80676.648888889,0
pw,fast-inserter,12,81822,0
pw,fast-inserter,13,82919.173333333,0
pw,fast-inserter,14,82486.462222222,0
pw,fast-inserter,15,81206.071111111,0
pw,fast-inserter,16,81539.253333333,0
pw,fast-inserter,17,82013.297777778,0
pw,fast-inserter,18,82755.528888889,0
pw,fast-inserter,19,82715.635555556,0
pw,fast-inserter,20,81586.56,0
pw,fast-inserter,21,81799.262222222,0
pw,fast-inserter,22,82302.213333333,0
pw,fast-inserter,23,82221.884444444,0
pw,fast-inserter,24,82225.377777778,0
pw,fast-inserter,25,82941.697777778,0
pw,fast-inserter,26,84118.497777778,0
pw,fast-inserter,27,84376.711111111,0
pw,fast-inserter,28,84215.004444444,0
pw,fast-inserter,29,84443.208888889,0
pw,fast-inserter,30,84709.173333333,0
pw,fast-inserter,31,86265.262222222,0
pw,fast-inserter,32,90053.537777778,0
pw,fast-inserter,33,90465.137777778,0
pw,fast-inserter,34,90058.408888889,0
pw,fast-inserter,35,85360.48,0
pw,fast-inserter,36,86385.111111111,0
pw,fast-inserter,37,86375.946666667,0
pw,fast-inserter,38,86615.813333333,0
pw,fast-inserter,39,87419.297777778,0
pw,fast-inserter,40,88172.56,0
pw,fast-inserter,41,88676.444444444,0
pw,fast-inserter,42,88515.528888889,0
pw,fast-inserter,43,88327.093333333,0
pw,fast-inserter,44,84525.102222222,0
pw,fast-inserter,45,84689.742222222,0
pw,fast-inserter,46,85574.942222222,0
pw,fast-inserter,47,86244.48,0
pw,fast-inserter,48,89054.533333333,0
pw,fast-inserter,49,98706.391111111,0
pw,fast-inserter,50,95894.24,0
pw,fast-inserter,51,93378.266666667,0
pw,fast-inserter,52,85985.457777778,0
pw,fast-inserter,53,83863.511111111,0
pw,fast-inserter,54,84850.853333333,0
pw,fast-inserter,55,85070.471111111,0
pw,fast-inserter,56,85479.235555556,0
pw,fast-inserter,57,86634.515555556,0
pw,fast-inserter,58,87573.013333333,0
pw,fast-inserter,59,88760.017777778,0
pw,fast-inserter,60,88870.488888889,0
pw,fast-inserter,61,88461.262222222,0
pw,fast-inserter,62,88493.226666667,0
pw,fast-inserter,63,88971.271111111,0
pw,fast-inserter,64,88691.84,0
pw,fast-inserter,65,96829.315555556,0
pw,fast-inserter,66,96472.906666667,0
pw,fast-inserter,67,90525.76,0
pw,fast-inserter,68,97563.573333333,0
pw,fast-inserter,69,95785.36,0
pw,fast-inserter,70,93594.968888889,0
pw,fast-inserter,71,88861.013333333,0
pw,fast-inserter,72,84741.102222222,0
pw,fast-inserter,73,85097.742222222,0
pw,fast-inserter,74,84332.186666667,0
pw,fast-inserter,75,86653.528888889,0
pw,fast-inserter,76,89884.337777778,0
pw,fast-inserter,77,90688.257777778,0
pw,fast-inserter,78,89818.897777778,0
pw,fast-inserter,79,89023.848888889,0
pw,fast-inserter,80,88821.68,0
pw,fast-inserter,81,89116.737777778,0
pw,fast-inserter,82,88220.053333333,0
pw,fast-inserter,83,87302.373333333,0
pw,fast-inserter,84,87274.026666667,0
pw,fast-inserter,85,87885.315555556,0
pw,fast-inserter,86,89564.471111111,0
pw,fast-inserter,87,91586.568888889,0
pw,fast-inserter,88,87319.724444444,0
pw,fast-inserter,89,89024.568888889,0
pw,fast-inserter,90,86893.422222222,0
pw,fast-inserter,91,88687.102222222,0
pw,fast-inserter,92,89234.231111111,0
pw,fast-inserter,93,90205.928888889,0
pw,fast-inserter,94,93224.613333333,0
pw,fast-inserter,95,90482.204444444,0
pw,fast-inserter,96,88839.022222222,0
pw,fast-inserter,97,88921.742222222,0
pw,fast-inserter,98,90490.053333333,0
pw,fast-inserter,99,88787.688888889,0
pw,fast-inserter,100,87980.106666667,0
pw,fast-inserter,101,86969.511111111,0
pw,fast-inserter,102,87282.017777778,0
pw,fast-inserter,103,86275.137777778,0
pw,fast-inserter,104,86802.604444444,0
pw,fast-inserter,105,87109.537777778,0
pw,fast-inserter,106,87612.053333333,0
pw,fast-inserter,107,87981.946666667,0
pw,fast-inserter,108,88699.502222222,0
pw,fast-inserter,109,88580.293333333,0
pw,fast-inserter,110,90114.337777778,0
pw,fast-inserter,111,93530.604444444,0
pw,fast-inserter,112,91807.404444444,0
pw,fast-inserter,113,92518.364444444,0
pw,fast-inserter,114,84138.382222222,0
pw,fast-inserter,115,86194.871111111,0
pw,fast-inserter,116,88875.297777778,0
pw,fast-inserter,117,88217.022222222,0
pw,fast-inserter,118,87965.724444444,0
pw,fast-inserter,119,85878.888888889,0
pw,fast-inserter,120,86000.462222222,0
pw,fast-inserter,121,85222.924444444,0
pw,fast-inserter,122,84948.355555556,0
pw,fast-inserter,123,83703.386666667,0
pw,fast-inserter,124,78726.017777778,0
pw,fast-inserter,125,74205.711111111,0
pw,fast-inserter,126,70754.115555556,0
pw,fast-inserter,127,71096.088888889,0
pw,fast-inserter,128,68721.177777778,0
pw,fast-inserter,129,68817.528888889,0
pw,fast-inserter,130,68674.711111111,0
pw,fast-inserter,131,66602.964444444,0
pw,fast-inserter,132,68094.471111111,0
pw,fast-inserter,133,67769.706666667,0
pw,fast-inserter,134,68034.586666667,0
pw,fast-inserter,135,68550.991111111,0
pw,fast-inserter,136,68027.72,0
pw,fast-inserter,137,67999.151111111,0
pw,fast-inserter,138,67692.022222222,0
pw,fast-inserter,139,67280.635555556,0
pw,fast-inserter,140,67591.702222222,0
pw,fast-inserter,141,67384.733333333,0
pw,fast-inserter,142,58599.044444444,0
pw,fast-inserter,143,47294.333333333,0
pw,fast-inserter,144,42918.591111111,0
pw,fast-inserter,145,36234.94,0
pw,fast-inserter,146,36345.515555556,0
pw,fast-inserter,147,36828.244444444,0
pw,fast-inserter,148,35240.64,0
pw,fast-inserter,149,34894.928888889,0
pw,fast-inserter,150,34554.166666667,0
pw,fast-inserter,151,34109.62,0
pw,fast-inserter,152,32430.435555556,0
pw,fast-inserter,153,29923.593333333,0
pw,fast-inserter,154,29379.122222222,0
pw,fast-inserter,155,28975.784444444,0
pw,fast-inserter,156,26070.084444444,0
pw,fast-inserter,157,24404.36,0
pw,fast-inserter,158,21424.3,0
pw,fast-inserter,159,19051.644444444,0
pw,fast-inserter,160,17660.413333333,0
pw,fast-inserter,161,18802.784444444,0
pw,fast-inserter,162,18712.506666667,0
pw,fast-inserter,163,18007.238888889,0
pw,fast-inserter,164,17671.664444444,0
pw,fast-inserter,165,16746.553333333,0
pw,fast-inserter,166,16964.002222222,0
pw,fast-inserter,167,16218.966666667,0
pw,fast-inserter,168,14498.628888889,0
pw,fast-inserter,169,13237.98,0
pw,fast-inserter,170,13239.19,0
pw,fast-inserter,171,19660.275555556,0
pw,fast-inserter,172,19450.515555556,0
pw,fast-inserter,173,19742.353333333,0
pw,fast-inserter,174,20060.991111111,0
pw,fast-inserter,175,19628.508888889,0
pw,fast-inserter,176,17254.923333333,0
pw,fast-inserter,177,15488.568888889,0
pw,fast-inserter,178,15155.79,0
pw,fast-inserter,179,12313.031111111,0
pw,fast-inserter,180,9075.5405555556,0
pw,fast-inserter,181,8019.0911111111,0
pw,fast-inserter,182,8376.2633333333,0
pw,fast-inserter,183,7648.985,0
pw,fast-inserter,184,8188.9011111111,0
pw,fast-inserter,185,8868.6366666667,0
pw,fast-inserter,186,9141.055,0
pw,fast-inserter,187,6317.0894444444,0
pw,fast-inserter,188,3740.1105555556,0
pw,fast-inserter,189,3070.1425,0
pw,fast-inserter,190,1027.0995138889,0
pw,fast-inserter,191,914.30666666667,0
pw,fast-inserter,192,849.67354166667,0
pw,fast-inserter,193,44.676419270833,0
pw,bulk-inserter,1,2521.9311111111,0
pw,bulk-inserter,2,2462.0905555556,0
pw,bulk-inserter,3,2345.1822222222,0
pw,bulk-inserter,4,2522.6611111111,0
pw,bulk-inserter,5,2341.8202777778,0
pw,bulk-inserter,6,2470.1033333333,0
pw,bulk-inserter,7,2397.5291666667,0
pw,bulk-inserter,8,2343.2258333333,0
pw,bulk-inserter,9,2282.7456944444,0
pw,bulk-inserter,10,2391.7388888889,0
pw,bulk-inserter,11,2356.7291666667,0
pw,bulk-inserter,12,2488.1266666667,0
pw,bulk-inserter,13,2336.6347222222,0
pw,bulk-inserter,14,2422.1672222222,0
pw,bulk-inserter,15,2301.0368055556,0
pw,bulk-inserter,16,2496.1494444444,0
pw,bulk-inserter,17,2396.6347222222,0
