#tick=1440948,surfaces=10,speed=1
kind,name,precision,sample,input,output
item,steel-plate,ten_hours,82,3123,2622
item,steel-plate,ten_hours,83,3126,2643
item,steel-plate,ten_hours,84,3122,2527
item,steel-plate,ten_hours,85,3126,2949
item,steel-plate,ten_hours,86,3123,3786
item,steel-plate,ten_hours,87,3135,3855
item,steel-plate,ten_hours,88,3151,2856
item,steel-plate,ten_hours,89,3179,3100
item,steel-plate,ten_hours,90,3180,3093
item,steel-plate,ten_hours,91,3180,3100
item,steel-plate,ten_hours,92,3180,3151
item,steel-plate,ten_hours,93,3180,3152
item,steel-plate,ten_hours,94,3180,3317
item,steel-plate,ten_hours,95,3180,2818
item,steel-plate,ten_hours,96,3180,3852
item,steel-plate,ten_hours,97,3180,5862
item,steel-plate,ten_hours,98,3180,3073
item,steel-plate,ten_hours,99,3180,3014
item,steel-plate,ten_hours,100,3180,2921
item,steel-plate,ten_hours,101,3180,3025
item,steel-plate,ten_hours,102,3180,3012
item,steel-plate,ten_hours,103,3180,3109
item,steel-plate,ten_hours,104,3180,3234
item,steel-plate,ten_hours,105,3180,3260
item,steel-plate,ten_hours,106,3180,3267
item,steel-plate,ten_hours,107,3180,3471
item,steel-plate,ten_hours,108,3180,3580
item,steel-plate,ten_hours,109,3180,3663
item,steel-plate,ten_hours,110,3180,3770
item,steel-plate,ten_hours,111,3180,3866
item,steel-plate,ten_hours,112,3180,3885
item,steel-plate,ten_hours,113,3180,3544
item,steel-plate,ten_hours,114,3180,3584
item,steel-plate,ten_hours,115,3180,3608
item,steel-plate,ten_hours,116,3180,3645
item,steel-plate,ten_hours,117,3180,3526
item,steel-plate,ten_hours,118,3180,3350
item,steel-plate,ten_hours,119,3180,3788
item,steel-plate,ten_hours,120,3180,4087
item,steel-plate,ten_hours,121,3180,3510
item,steel-plate,ten_hours,122,3180,3482
item,steel-plate,ten_hours,123,3180,3528
item,steel-plate,ten_hours,124,3180,3524
item,steel-plate,ten_hours,125,3180,3324
item,steel-plate,ten_hours,126,3180,3386
item,steel-plate,ten_hours,127,3180,3588
item,steel-plate,ten_hours,128,3180,3629
item,steel-plate,ten_hours,129,3180,5175
item,steel-plate,ten_hours,130,3180,2947
item,steel-plate,ten_hours,131,3180,2921
item,steel-plate,ten_hours,132,3180,3539
item,steel-plate,ten_hours,133,3180,3804
item,steel-plate,ten_hours,134,3180,2744
item,steel-plate,ten_hours,135,3180,2667
item,steel-plate,ten_hours,136,3180,4551
item,steel-plate,ten_hours,137,3180,2481
item,steel-plate,ten_hours,138,3180,2573
item,steel-plate,ten_hours,139,3180,2737
item,steel-plate,ten_hours,140,3180,2474
item,steel-plate,ten_hours,141,3180,1873
item,steel-plate,ten_hours,142,3180,785
item,steel-plate,ten_hours,143,3178,675
item,steel-plate,ten_hours,144,3179,903
item,steel-plate,ten_hours,145,3180,1097
item,steel-plate,ten_hours,146,3180,1126
item,steel-plate,ten_hours,147,3180,1272
item,steel-plate,ten_hours,148,3123,663
item,steel-plate,ten_hours,149,2486,599
item,steel-plate,ten_hours,150,1653,466
item,steel-plate,ten_hours,151,809,1015
